Particulars,Total,July'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
CM7,"-25,666,052","-2,954,647","-2,214,916","-2,064,239","-2,138,597","-2,683,485","-2,616,437","-3,825,825","630,419","316,530","-2,435,640","-3,005,140","-2,674,075",,,,,,
CM7%,-1.60%,-3.12%,-2.49%,-5.64%,-5.05%,-7.39%,-2.82%,-5.21%,0.63%,0.39%,-0.79%,-1.05%,-0.75%,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Particulars,Total,July'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,,,,,,
Revenue,"380,000,000",0,0,0,0,0,"50,000,000","50,000,000","60,000,000","50,000,000","70,000,000","60,000,000","40,000,000",,,,,,
Chili,"70,000,000",,,,,,,,"30,000,000","20,000,000","20,000,000",,,,,,,,
turmeric,"50,000,000",,,,,,,,"30,000,000","20,000,000",,,,,,,,,
Maize,"100,000,000",,,,,,,,,,"50,000,000","30,000,000","20,000,000",,,,,,
Paddy,"150,000,000",,,,,,"50,000,000","50,000,000",,,,"30,000,000","20,000,000",,,,,,
Mustard,0,,,,,,,,,,,,,,,,,,
Potato,"10,000,000",,,,,,,,,"10,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
COGS,"348,124,000",0,0,0,0,0,"46,200,000","46,200,000","54,171,000","45,464,000","63,979,000","55,266,000","36,844,000",,,,,,
Chili,"63,154,000",,,,,,0,0,"27,066,000","18,044,000","18,044,000",0,0,,,,,,
turmeric,"45,175,000",,,,,,0,0,"27,105,000","18,070,000",0,0,0,,,,,,
Maize,"91,870,000",,,,,,0,0,0,0,"45,935,000","27,561,000","18,374,000",,,,,,
Paddy,"138,575,000",,,,,,"46,200,000","46,200,000",0,0,0,"27,705,000","18,470,000",,,,,,
Mustard,0,,,,,,0,0,0,0,0,0,0,,,,,,
Potato,"9,350,000",,,,,,0,0,0,"9,350,000",0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
Gross Profit,"31,876,000",0,0,0,0,0,"3,800,000","3,800,000","5,829,000","4,536,000","6,021,000","4,734,000","3,156,000",,,,,,
Chili,"6,846,000",0,0,0,0,0,0,0,"2,934,000","1,956,000","1,956,000",0,0,,,,,,
turmeric,"4,825,000",0,0,0,0,0,0,0,"2,895,000","1,930,000",0,0,0,,,,,,
Maize,"8,130,000",0,0,0,0,0,0,0,0,0,"4,065,000","2,439,000","1,626,000",,,,,,
Paddy,"11,425,000",0,0,0,0,0,"3,800,000","3,800,000",0,0,0,"2,295,000","1,530,000",,,,,,
Mustard,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Potato,"650,000",0,0,0,0,0,0,0,0,"650,000",0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gross Profit %,8.39%,,,,,,7.60%,7.60%,9.72%,9.07%,8.60%,7.89%,7.89%,,,,,,
Chili,9.78%,,,,,,,,9.78%,9.78%,9.78%,,,,,,,,
turmeric,9.65%,,,,,,,,9.65%,9.65%,,,,,,,,,
Maize,8.13%,,,,,,,,,,8.13%,8.13%,8.13%,,,,,,
Paddy,7.62%,,,,,,7.60%,7.60%,,,,7.65%,7.65%,,,,,,
Mustard,,,,,,,,,,,,,,,,,,,
Potato,6.50%,,,,,,,,,6.50%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Selling Opex,"17,100,000",0,0,0,0,0,"2,250,000","2,250,000","2,700,000","2,250,000","3,150,000","2,700,000","1,800,000",,,,,,
Chili,"3,150,000",0,0,0,0,0,0,0,"1,350,000","900,000","900,000",0,0,,,,,,
turmeric,"2,250,000",0,0,0,0,0,0,0,"1,350,000","900,000",0,0,0,,,,,,
Maize,"4,500,000",0,0,0,0,0,0,0,0,0,"2,250,000","1,350,000","900,000",,,,,,
Paddy,"6,750,000",0,0,0,0,0,"2,250,000","2,250,000",0,0,0,"1,350,000","900,000",,,,,,
Mustard,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Potato,"450,000",0,0,0,0,0,0,0,0,"450,000",0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
CM3,"14,776,000",,,,,,"1,550,000","1,550,000","3,129,000","2,286,000","2,871,000","2,034,000","1,356,000",,,,,,
Chili,"3,696,000",,,,,,0,0,"1,584,000","1,056,000","1,056,000",0,0,,,,,,
turmeric,"2,575,000",,,,,,0,0,"1,545,000","1,030,000",0,0,0,,,,,,
Maize,"3,630,000",,,,,,0,0,0,0,"1,815,000","1,089,000","726,000",,,,,,
Paddy,"4,675,000",,,,,,"1,550,000","1,550,000",0,0,0,"945,000","630,000",,,,,,
Mustard,0,,,,,,0,0,0,0,0,0,0,,,,,,
Potato,"200,000",,,,,,0,0,0,"200,000",0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
CM3 %,3.89%,,,,,,3.10%,3.10%,5.22%,4.57%,4.10%,3.39%,3.39%,,,,,,
Chili,5.28%,,,,,,,,5.28%,5.28%,5.28%,,,,,,,,
turmeric,5.15%,,,,,,,,5.15%,5.15%,,,,,,,,,
Maize,3.63%,,,,,,,,,,3.63%,3.63%,3.63%,,,,,,
Paddy,3.12%,,,,,,3.10%,3.10%,,,,3.15%,3.15%,,,,,,
Mustard,,,,,,,,,,,,,,,,,,,
Potato,2.00%,,,,,,,,,2.00%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Marketing cost,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
CM4,"14,776,000",0,0,0,0,0,"1,550,000","1,550,000","3,129,000","2,286,000","2,871,000","2,034,000","1,356,000",,,,,,
CM4 %,3.89%,,,,,,3.10%,3.10%,5.22%,4.57%,4.10%,3.39%,3.39%,,,,,,
,,,,,,,,,,,,,,,,,,,
SG&A cost,"2,733,333",0,0,0,0,0,"383,333","383,333","400,000","383,333","416,667","400,000","366,667",,,,,,
Rent and others,"2,100,000",,,,,,"300,000","300,000","300,000","300,000","300,000","300,000","300,000",,,,,,
Employee incentive,"633,333",,,,,,"83,333","83,333","100,000","83,333","116,667","100,000","66,667",,,,,,
,,,,,,,,,,,,,,,,,,,
CM5,"12,042,667",0,0,0,0,0,"1,166,667","1,166,667","2,729,000","1,902,667","2,454,333","1,634,000","989,333",,,,,,
CM5 %,3.17%,,,,,,2.33%,2.33%,4.55%,3.81%,3.51%,2.72%,2.47%,,,,,,
,,,,,,,,,,,,,,,,,,,
Salary amount,"3,484,869",,,,,,"497,838.47","497,838.47","497,838.47","497,838.47","497,838.47","497,838.47","497,838.47",,,,,,
,,,,,,,,,,,,,,,,,,,
CM6,"8,557,797",0,0,0,0,0,"668,828","668,828","2,231,162","1,404,828","1,956,495","1,136,162","491,495",,,,,,
CM6 %,2.25%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.34%,1.34%,3.72%,2.81%,2.79%,1.89%,1.23%,,,,,,
,,,,,,,,,,,,,,,,,,,
Finance cost,"4,050,000",,,,,,"500,000","500,000","750,000","600,000","700,000","600,000","400,000",,,,,,
,,,,,,,,,,,,,,,,,,,
CM7,"4,507,797",0,0,0,0,0,"168,828","168,828","1,481,162","804,828","1,256,495","536,162","91,495",,,,,,
CM7 %,1.19%,,,,,,0.34%,0.34%,2.47%,1.61%,1.79%,0.89%,0.23%,,,,,,
